,dept_abb,course_num,section,instructor_first_name,instructor_last_name,quarter,year,overall_ratings,content_ratings,contribution_ratings,effectiveness_ratings,interest_ratings,amount_learned_ratings,grading_ratings,user_email,user_password,would_take_again,homework_amount,user_country,user_city,is_recorded,teaching_style,participation_weight,level_of_group_work,exam_weight,ReportedCount,exam_difficulty,DateOfReview
0,AA,198.0,A,Christopher,Lum,AU,18.0,4.43,4.06,4.43,4.22,3.95,3.86,2.92,jacks@outlook.com,FteKk_B_Z4,98.78,0.95,United States,Boston,no,visual,1.31,4.1,0.11,14,4.87,09/30/2018
1,AA,210.0,A,Daniel,Cook,SU,19.0,3.5,4.17,3.17,3.17,3.5,3.83,3.5,jeteve@msn.com,8~baK91d%_,85.57,4.69,United States,Los Angeles,no,problem based,1.82,0.11,2.56,3,0.72,07/23/2019
2,AA,210.0,A,Royan,Dmello,AU,18.0,3.68,3.94,3.96,3.68,4.26,4.08,3.68,tlinden@mac.com,6&I!LaRbc6,18.41,2.42,United States,Issaquah,no,online,1.24,2.37,4.2,10,1.3,09/30/2018
3,AA,210.0,A,Royan,Dmello,WI,19.0,4.09,4.15,4.31,4.19,4.4,4.41,4.23,glenz@optonline.net,q=mPa0CRkF,21.0,3.42,United States,Bellevue,yes,group work focused,2.46,2.85,4.53,8,1.68,01/31/2019
4,AA,210.0,A,Dana,Dabiri,SP,19.0,2.75,3.32,2.8,2.71,3.75,3.06,3.36,krueger@comcast.net,ShZsBDt1DF,52.29,3.99,United States,Los Angeles,no,group work focused,3.45,2.91,0.96,10,3.76,05/26/2019
5,AA,260.0,A,Daniel,Cook,SU,19.0,3.75,4.17,4.0,4.0,3.17,4.0,4.17,brainless@sbcglobal.net,y5C7vY!30S,81.38,0.8,United States,Bellevue,no,industry example based,4.57,4.1,4.26,13,3.22,07/23/2019
6,AA,260.0,A,Eleanor,Forbes,SP,19.0,4.11,4.06,4.69,4.37,4.62,4.07,3.97,mgreen@verizon.net,51eBuzq6b5,92.29,2.08,United States,Bellevue,no,group work focused,4.11,0.56,2.19,11,2.63,05/26/2019
7,AA,301.0,A,Dana,Dabiri,SP,19.0,3.5,3.68,3.17,3.21,4.17,3.5,3.3,thassine@icloud.com,j9V~%W8Y11,81.14,4.25,United States,Los Angeles,no,problem based,1.5,4.74,4.5,3,4.5,05/26/2019
8,AA,302.0,A,Dana,Dabiri,WI,19.0,2.54,3.0,2.64,1.71,3.23,2.33,3.11,gumpish@yahoo.com,g579OXb?4B,81.06,3.16,United States,Bellevue,no,industry example based,0.62,3.02,0.75,5,1.55,01/31/2019
9,AA,310.0,A,Mehran,Mesbahi,AU,18.0,4.83,4.76,4.89,4.85,4.86,4.83,4.26,shazow@yahoo.ca,103FyMvzrx,57.34,1.46,United States,Bellevue,no,group work focused,0.81,4.49,0.6,11,4.76,09/30/2018
10,AA,311.0,A,Antonino,Ferrante,SU,19.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,dieman@me.com,HcD=Ms71&9,3.52,2.34,United States,Los Angeles,yes,group work focused,0.4,3.42,1.83,4,3.53,07/23/2019
11,AA,311.0,A,Antonino,Ferrante,AU,18.0,3.06,3.63,3.09,2.86,3.13,3.43,3.27,frostman@hotmail.com,aSw9p+w52&,42.94,3.8,United States,San Francisco,yes,problem based,1.68,0.15,2.78,15,1.03,09/30/2018
12,AA,312.0,A,Behcet,Acikmese,WI,19.0,3.58,3.65,3.79,3.47,3.91,3.93,3.97,johnh@me.com,W5#1mN0PKq,33.84,3.56,United States,Issaquah,no,visual,4.29,0.11,2.21,0,4.98,01/31/2019
13,AA,320.0,A,Owen,Williams,AU,18.0,2.27,2.73,2.56,2.69,2.88,2.73,1.55,bockelboy@aol.com,X1Icq_1M4y,35.37,3.73,United States,Issaquah,yes,online,1.01,4.0,4.33,0,2.99,09/30/2018
14,AA,321.0,A,James,Hermanson,WI,19.0,3.39,3.75,3.9,3.75,4.0,3.58,2.5,geekoid@msn.com,DHx54DDkIr,65.79,3.83,United States,Portland,yes,industry example based,0.7,2.22,1.36,10,1.74,01/31/2019
15,AA,322.0,A,James,Hermanson,SP,19.0,3.64,3.63,3.83,3.72,4.21,3.79,3.94,unreal@icloud.com,MT9n0@UX_O,68.02,1.47,United States,Seattle,no,powerpoint driven,1.97,3.67,3.26,13,0.98,05/26/2019
16,AA,331.0,A,Jinkyu,Yang,WI,19.0,4.62,4.73,4.88,4.89,4.82,4.5,4.5,crowl@gmail.com,lCF=s*jOfh,27.38,1.52,United States,Seattle,no,group work focused,1.17,4.45,2.66,7,4.38,01/31/2019
17,AA,332.0,A,Jinkyu,Yang,SP,19.0,4.45,4.53,4.8,4.73,4.82,4.5,4.3,cremonini@msn.com,lr=Z8Y68RC,12.53,2.42,United States,Seattle,no,problem based,3.96,4.33,1.2,3,1.56,05/26/2019
18,AA,360.0,A,Mitsuru,Kurosaka,AU,18.0,2.77,3.14,2.77,2.23,3.21,2.38,2.4,seemant@mac.com,Tzk9X&F42S,55.0,0.68,United States,Bellevue,no,problem based,2.38,1.65,3.96,2,4.46,09/30/2018
19,AA,395.0,A,Susan,Murphy,AU,18.0,3.05,2.83,3.08,3.05,3.32,3.13,3.35,stomv@icloud.com,HDkBthF?04,60.05,1.17,United States,Boston,no,industry example based,0.5,4.62,2.84,1,3.88,09/30/2018
20,AA,402.0,A,Antonino,Ferrante,AU,18.0,3.81,3.95,3.92,3.58,4.0,3.71,3.78,michiel@me.com,G&?-PeVr8!,4.05,0.24,United States,Los Angeles,no,group work focused,3.25,4.61,1.32,13,1.62,09/30/2018
21,AA,405.0,A,Anton,Stepanov,AU,18.0,3.96,3.8,4.23,3.9,4.3,4.13,3.8,ganter@me.com,0#rXAfis2P,68.03,3.86,United States,Boston,no,group work focused,2.43,2.61,1.56,1,0.3,09/30/2018
22,AA,411.0,AC,Susan,Murphy,SP,19.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,fukuchi@sbcglobal.net,87@7ePv3+C,89.12,1.25,United States,Boston,no,online,0.36,3.17,1.2,7,4.88,05/26/2019
23,AA,411.0,AG,Marco,Salviato,SP,19.0,,,,,,,,horrocks@aol.com,QPz_c$B443,50.37,2.93,United States,Portland,no,powerpoint driven,1.97,3.8,4.81,2,3.84,05/26/2019
24,AA,419.0,A,Robert,Breidenthal,WI,19.0,2.08,2.0,1.43,1.29,2.0,2.0,2.14,msroth@att.net,I~RvAr6r=z,4.73,4.47,United States,Portland,yes,visual,0.92,3.8,0.66,11,0.86,01/31/2019
25,AA,440.0,A,Christopher,Lum,WI,19.0,4.18,4.08,4.59,4.59,4.73,4.11,4.0,gfody@msn.com,GzY2+YDded,28.29,1.74,United States,Boston,yes,industry example based,1.62,4.1,2.36,3,0.5,01/31/2019
26,AA,447.0,A,Behcet,Acikmese,SP,19.0,4.02,4.08,4.18,4.02,4.38,4.22,4.02,bahwi@yahoo.ca,nYxh1Pk7L$,56.13,0.29,United States,San Francisco,yes,group work focused,2.44,1.01,4.96,8,1.61,05/26/2019
27,AA,448.0,A,Christopher,Lum,AU,18.0,4.2,4.25,4.56,4.38,4.4,4.56,2.8,storerm@optonline.net,arJgGKwkH~,59.73,4.71,United States,Los Angeles,no,group work focused,1.51,1.94,4.34,4,2.31,09/30/2018
28,AA,461.0,A,Mitsuru,Kurosaka,WI,19.0,4.1,4.1,4.5,4.5,4.67,4.25,4.5,pakaste@gmail.com,A8m!AZ0Adc,78.34,4.05,United States,Bellevue,yes,online,3.55,3.98,1.81,14,3.85,01/31/2019
29,AA,462.0,A,Adam,Bruckner,WI,19.0,4.09,4.27,4.54,4.25,4.25,4.0,3.78,neonatus@mac.com,LQwC1xU?NL,49.41,1.92,United States,Bellevue,no,group work focused,4.62,2.55,1.87,10,1.25,01/31/2019
30,AA,470.0,A,Susan,Murphy,SP,19.0,2.86,2.95,3.17,3.13,3.4,2.67,3.25,konit@yahoo.ca,guvFv8w#*r,26.19,0.75,United States,San Francisco,no,visual,3.61,2.32,1.27,7,4.1,05/26/2019
31,AA,498.0,A,Justin,Little,AU,18.0,4.5,4.83,4.7,4.7,4.83,4.3,4.5,jonathan@gmail.com,8#~Y8Vb9If,29.45,3.99,United States,Los Angeles,no,group work focused,0.68,1.05,2.69,8,0.86,09/30/2018
32,AA,501.0,A,Mitsuru,Kurosaka,SP,19.0,3.5,3.0,4.0,3.0,4.5,3.17,4.0,ganter@live.com,WKTQ^C4f-c,36.11,1.83,United States,Portland,no,powerpoint driven,2.58,1.12,3.54,2,1.61,05/26/2019
33,AA,503.0,A,Dana,Dabiri,AU,18.0,3.67,3.88,3.79,3.7,4.13,3.83,4.0,jhardin@outlook.com,vh=2q7zX2?,50.29,2.66,United States,San Francisco,yes,online,4.81,2.97,4.51,0,3.72,09/30/2018
34,AA,504.0,A,Robert,Breidenthal,AU,18.0,4.5,4.5,4.7,4.5,4.5,4.0,4.7,alias@icloud.com,Z1xz=aZ#Q&,99.95,1.06,United States,Los Angeles,no,industry example based,1.24,4.08,1.95,8,0.38,09/30/2018
35,AA,508.0,A,Robert,Breidenthal,SP,19.0,3.5,3.5,3.5,3.17,3.83,3.5,3.0,jonas@optonline.net,j15&ec10bi,63.85,2.31,United States,Portland,no,online,3.65,2.45,2.05,10,2.33,05/26/2019
36,AA,516.0,A,Eli,Livne,SP,19.0,3.88,3.8,4.33,4.25,4.2,3.88,3.25,mugwump@live.com,kq6VrvPAO&,77.63,0.21,United States,Seattle,no,problem based,0.73,1.86,3.89,6,1.54,05/26/2019
